com.samsung.shealth.calories_burned,6060029,2
tef_calorie,active_time,pkg_name,update_time,create_time,datauuid,rest_calorie,active_calorie,day_time,deviceuuid
0.0,6168770,com.sec.android.app.shealth,2019-04-06 13:01:20.415,2019-03-19 11:03:03.327,5a85411b-c161-4ce1-9f3e-0451aeb456f1,1692.3373,443.42737,1552953600000,79R9GKyaj4
0.0,6431211,com.sec.android.app.shealth,2019-04-06 13:01:15.569,2019-03-19 11:04:18.794,f93d1e23-6f11-48d9-832d-2010a567921b,1686.8016,461.58786,1552521600000,79R9GKyaj4
0.0,8215333,com.sec.android.app.shealth,2019-04-06 13:01:16.784,2019-03-19 11:04:18.827,489bbe7a-fe6d-406e-8702-92b985f239e6,1649.1686,537.708,1552608000000,79R9GKyaj4
0.0,1917475,com.sec.android.app.shealth,2019-04-06 13:01:17.528,2019-03-19 11:04:19.264,417bbb09-f455-48f3-868a-b1bd10774ec8,1782.011,118.51002,1552694400000,79R9GKyaj4
0.0,1526228,com.sec.android.app.shealth,2019-04-06 13:01:17.572,2019-03-19 11:04:19.308,5dd84687-0683-4c42-97bd-7f126503d190,1790.2637,91.74001,1552780800000,79R9GKyaj4
0.0,6610025,com.sec.android.app.shealth,2019-04-06 13:01:18.492,2019-03-19 11:04:19.896,338f2ae8-d12a-469a-a203-a4cae57865f3,1683.0298,487.1058,1552867200000,79R9GKyaj4
0.0,8228991,com.sec.android.app.shealth,2019-04-06 13:01:21.233,2019-03-20 04:00:01.479,4d715fa1-3c0a-438c-847a-cbe677f292d8,1648.8805,567.93933,1553040000000,79R9GKyaj4
0.0,9566908,com.sec.android.app.shealth,2019-04-06 13:01:22.007,2019-03-21 04:44:09.179,4b93f370-7032-4afa-bf8f-ab12162d64de,1606.6097,654.5406,1553126400000,79R9GKyaj4
0.0,5526610,com.sec.android.app.shealth,2019-04-06 13:01:22.851,2019-03-22 04:00:01.318,67d1e635-6c5e-46f2-a3d7-142937834592,1691.0941,381.09885,1553212800000,79R9GKyaj4
0.0,8434592,com.sec.android.app.shealth,2019-04-06 13:01:23.833,2019-03-23 04:00:02.121,aad81cb1-09ce-43c3-9e7e-4d95ebc6eaab,1630.287,552.29803,1553299200000,79R9GKyaj4
0.0,4155996,com.sec.android.app.shealth,2019-04-06 13:01:25.046,2019-03-24 06:41:44.266,5c1a4803-a4d9-4773-92a5-1be97564d3d2,1719.754,247.26103,1553385600000,79R9GKyaj4
0.0,5098720,com.sec.android.app.shealth,2019-04-06 13:01:25.951,2019-03-25 05:00:02.034,ffb577d5-4c45-4ffb-8664-060db3aad469,1700.0414,308.49,1553472000000,79R9GKyaj4
0.0,1613368,com.sec.android.app.shealth,2019-04-06 13:01:27.056,2019-03-26 06:47:57.295,f7449c21-3ad1-4a91-b731-aa1b9b568579,1772.9215,124.17003,1553558400000,79R9GKyaj4
0.0,4102290,com.sec.android.app.shealth,2019-04-06 13:01:27.429,2019-03-27 06:36:27.117,a4e7b191-bd38-411d-9865-194b9b10a9d1,1720.8772,293.65,1553644800000,79R9GKyaj4
0.0,2396528,com.sec.android.app.shealth,2019-04-06 13:01:28.657,2019-03-28 05:29:43.117,cb4b4700-2ff5-4348-89e8-e851c39092c0,1756.5453,165.66005,1553731200000,79R9GKyaj4
0.0,7985769,com.sec.android.app.shealth,2019-04-06 13:01:29.877,2019-03-29 05:00:01.283,7ae27d6e-02ab-48a0-866a-c53b4637945e,1639.6721,490.98892,1553817600000,79R9GKyaj4
0.0,8602297,com.sec.android.app.shealth,2019-04-06 13:01:30.735,2019-03-30 05:00:02.022,86b40644-2d9b-440c-9df0-f520df84b6a1,1626.7803,572.521,1553904000000,79R9GKyaj4
0.0,2707145,com.sec.android.app.shealth,2019-04-06 13:01:31.905,2019-03-31 04:01:59.463,25b84450-5881-476d-8a64-18ef9dc3b7bc,1750.0502,179.00198,1553990400000,79R9GKyaj4
0.0,6624864,com.sec.android.app.shealth,2019-04-06 13:01:32.809,2019-04-01 04:00:02.382,ae01d198-4f39-43ad-96e9-f3c6552185ef,1668.1292,476.97607,1554076800000,79R9GKyaj4
0.0,6940692,com.sec.android.app.shealth,2019-04-06 13:01:33.714,2019-04-02 04:00:02.069,1a4475a5-ee96-4913-b4e4-beb96d192e32,1661.5251,748.16785,1554163200000,79R9GKyaj4
0.0,7335465,com.sec.android.app.shealth,2019-04-06 13:01:34.481,2019-04-03 04:00:02.433,51a623ac-7b74-494b-a7fb-186a9fdad895,1653.2703,544.09924,1554249600000,79R9GKyaj4
0.0,5519553,com.sec.android.app.shealth,2019-04-06 13:01:35.115,2019-04-04 04:00:02.224,7a4e2f51-0188-4cb4-b948-a1218b6c1214,1696.93,366.56992,1554336000000,79R9GKyaj4
0.0,6172074,com.sec.android.app.shealth,2019-04-06 13:03:06.186,2019-04-05 04:00:02.057,523ca6e7-5e83-4565-93ea-c19eb32ede61,1683.2397,403.02545,1554422400000,79R9GKyaj4
0.0,6533353,com.sec.android.app.shealth,2019-04-08 12:03:28.197,2019-04-06 04:00:02.141,5b004c2a-f13d-4558-82a9-a384eb522d33,1675.6598,493.91623,1554508800000,79R9GKyaj4
0.0,1781014,com.sec.android.app.shealth,2019-04-08 12:03:28.225,2019-04-07 04:00:01.446,ad3963c4-8441-42ca-a568-207fb4316cb6,1775.3672,117.65,1554595200000,79R9GKyaj4
0.0,8419950,com.sec.android.app.shealth,2019-04-09 12:09:37.636,2019-04-08 04:00:01.446,15cfb885-214e-4312-b8c6-ff4e77bea713,1636.0776,596.39,1554681600000,79R9GKyaj4
0.0,9404488,com.sec.android.app.shealth,2019-04-10 12:24:24.049,2019-04-09 04:00:01.905,9d25fc1f-3f27-4a0e-bb85-fd5eb1c18fce,1615.4213,652.5263,1554768000000,79R9GKyaj4
0.0,13102811,com.sec.android.app.shealth,2019-04-11 12:16:24.730,2019-04-10 04:00:01.601,809cec96-68ac-4f81-a1b0-332888eb064c,1537.8279,869.5865,1554854400000,79R9GKyaj4
0.0,6937848,com.sec.android.app.shealth,2019-04-12 11:38:47.231,2019-04-11 04:00:01.567,c01b708f-6acd-4d9f-955c-4f5b2aa0b3d5,1667.1732,462.7827,1554940800000,79R9GKyaj4
0.0,9935101,com.sec.android.app.shealth,2019-04-15 21:52:03.704,2019-04-12 04:00:02.401,890f1731-744a-46dd-b2d1-709aec1f9a36,1604.2886,682.7242,1555027200000,79R9GKyaj4
0.0,7526814,com.sec.android.app.shealth,2019-04-15 21:52:03.791,2019-04-13 04:00:02.167,eae5237b-5347-4bd4-8a99-430b91e9f788,1654.8162,593.6865,1555113600000,79R9GKyaj4
0.0,2237153,com.sec.android.app.shealth,2019-04-15 21:52:04.674,2019-04-14 04:00:01.566,8b38f149-42a9-4e7c-8fb8-adf44e3ac724,1765.7971,144.41,1555200000000,79R9GKyaj4
0.0,4817029,com.sec.android.app.shealth,2019-04-17 00:48:59.210,2019-04-15 04:00:01.485,c5a244e7-62e3-4d8a-bf7c-37ce4a42da03,1711.6694,331.55225,1555286400000,79R9GKyaj4
0.0,9881372,com.sec.android.app.shealth,2019-04-17 12:12:29.914,2019-04-16 04:00:01.662,efaff498-0ae7-4338-bb3d-9c93caf3eead,1605.4159,713.1483,1555372800000,79R9GKyaj4
0.0,7652950,com.sec.android.app.shealth,2019-04-20 11:56:49.082,2019-04-17 04:00:03.143,a1f257a3-526b-46d5-9a28-1e3b7abc4a61,1652.1698,587.7373,1555459200000,79R9GKyaj4
0.0,4693623,com.sec.android.app.shealth,2019-04-20 11:56:49.116,2019-04-18 04:00:01.352,fecfb169-fa0d-4896-9973-e0252153d5ee,1714.2587,318.54077,1555545600000,79R9GKyaj4
0.0,8479566,com.sec.android.app.shealth,2019-04-20 11:56:51.984,2019-04-19 04:00:01.352,df51e0e8-24e0-4ca6-8de6-15524e64a3cd,1634.8268,560.9076,1555632000000,79R9GKyaj4
0.0,3698597,com.sec.android.app.shealth,2019-04-21 15:13:14.381,2019-04-20 04:00:01.145,1a6fb808-036e-4239-af3a-a6eab07d8ba4,1735.1349,244.25003,1555718400000,79R9GKyaj4
0.0,1701513,com.sec.android.app.shealth,2019-04-24 12:29:21.638,2019-04-21 04:00:01.742,db9e928f-eeae-424f-a7e6-2bf8be4c73bd,1777.0353,106.00002,1555804800000,79R9GKyaj4
0.0,7287819,com.sec.android.app.shealth,2019-04-24 12:29:21.664,2019-04-22 04:00:02.072,3b17a24b-de44-4106-8f4e-5a653b8afb99,1659.8306,476.6947,1555891200000,79R9GKyaj4
0.0,8873372,com.sec.android.app.shealth,2019-04-24 12:29:21.698,2019-04-23 04:00:02.367,4f722b89-be26-40db-843b-3db2c1f693e8,1626.5645,631.64,1555977600000,79R9GKyaj4
0.0,4936916,com.sec.android.app.shealth,2019-04-25 12:08:55.378,2019-04-24 04:00:03.031,876cc1cd-d153-408a-a175-7208a723c5a5,1709.1543,345.50128,1556064000000,79R9GKyaj4
0.0,8347801,com.sec.android.app.shealth,2019-05-07 12:13:34.360,2019-04-25 04:00:01.426,ba6f21d3-ce9e-4f1f-b2d2-4d0de9570b07,1637.5914,630.278,1556150400000,79R9GKyaj4
0.0,8034226,com.sec.android.app.shealth,2019-05-07 12:13:34.389,2019-04-26 04:00:03.237,62419ba0-6343-43ae-9202-772393e240be,1644.1704,533.7419,1556236800000,79R9GKyaj4
0.0,5881784,com.sec.android.app.shealth,2019-05-07 12:13:34.421,2019-04-27 04:00:01.522,ddcb3b19-24c5-4c5f-bb0a-ef823a99cd0b,1689.3302,649.29944,1556323200000,79R9GKyaj4
0.0,1668962,com.sec.android.app.shealth,2019-05-25 15:22:11.099,2019-04-28 04:56:54.704,a2f636ff-ace4-4f1a-b2d3-ede39a2cd17a,1777.7183,112.749985,1556409600000,79R9GKyaj4
0.0,5498857,com.sec.android.app.shealth,2019-05-25 15:22:11.683,2019-04-29 04:00:02.318,418ef521-a855-45e3-9c06-1dd56b7cf9dd,1697.3643,362.4025,1556496000000,79R9GKyaj4
0.0,8824869,com.sec.android.app.shealth,2019-05-25 15:22:12.283,2019-04-30 04:00:02.221,df9f8544-8f7b-46ed-bfaf-5d7e3918ffcf,1627.582,622.75244,1556582400000,79R9GKyaj4
0.0,8621518,com.sec.android.app.shealth,2019-05-25 15:22:12.777,2019-05-01 04:00:01.704,3f575971-1aa2-4e50-a77a-9575b706b29b,1631.8485,634.1676,1556668800000,79R9GKyaj4
0.0,7382866,com.sec.android.app.shealth,2019-05-25 15:22:13.289,2019-05-02 04:00:01.603,eb721147-205e-4753-b686-fd316b30f2c9,1657.8364,493.14758,1556755200000,79R9GKyaj4
0.0,9464211,com.sec.android.app.shealth,2019-05-25 15:22:13.371,2019-05-03 04:00:01.616,fabfd146-7745-458e-8e31-4626596f88a2,1614.1683,609.2707,1556841600000,79R9GKyaj4
0.0,3848671,com.sec.android.app.shealth,2019-05-25 15:22:14.327,2019-05-04 04:00:02.613,d1259598-218e-4787-916d-e29836225a58,1731.9863,249.82997,1556928000000,79R9GKyaj4
0.0,3019264,com.sec.android.app.shealth,2019-05-25 15:22:14.456,2019-05-05 05:35:47.173,560224ed-8104-4478-bf4c-15e65ea76e6d,1749.388,200.36995,1557014400000,79R9GKyaj4
