com.samsung.health.food_info,6060029,5
total_fat,potassium,default_number_of_serving_unit,description,carbohydrate,deviceuuid,metric_serving_amount,update_time,serving_description,datauuid,protein,cholesterol,polysaturated_fat,dietary_fiber,calcium,vitamin_a,create_time,unit_count_per_calorie,vitamin_c,custom,metric_serving_unit,monosaturated_fat,saturated_fat,sodium,info_provider,pkg_name,provider_food_id,name,calorie,iron,trans_fat,sugar
0.0,0.0,1,"60 kcal, Per 3 pops",15.0,79R9GKyaj4,0,2019-07-11 17:02:24.515,serving,8c51ef12-4816-4a60-9677-0819c558557d,0.0,0.0,0.0,0.0,,,2019-07-11 17:02:24.515,0.0,,,g,0.0,0.0,0.0,,com.sec.android.app.shealth,fatsecret-88081,Lollipop(Dum Dum),60.0,,0.0,11.0
4.16,836.0,1,"74 kcal, Per 186g",6.81,79R9GKyaj4,185,2019-07-11 17:02:24.515,"cup, fresh",6a530bc0-926a-4a62-a3fe-ccd7ce10dcf2,5.33,0.0,1.274,4.3,24.0,379.0,2019-07-11 17:02:24.515,2.5,29.0,,g,1.756,0.767,527.0,,com.sec.android.app.shealth,fatsecret-5950,Cooked Spinach (from Fresh),74.0,36.0,,0.78
8.86,601.0,1,"113 kcal, Per 100g",35.22,79R9GKyaj4,210,2019-07-11 17:02:24.516,cup,69b50b13-c6c1-493f-ad12-773e2767e16b,3.93,23.0,0.336,3.2,5.0,5.0,2019-07-11 17:02:24.516,0.886076,21.0,,g,1.787,4.364,666.0,,com.sec.android.app.shealth,fatsecret-36956,Mashed Potatoes (Whole Milk and Butter Added),237.0,3.0,0.313,3.0
9.16,63.0,1,"478 kcal, Per 147g",4.64,79R9GKyaj4,42,2019-07-11 17:02:24.517,"small wing (yield after cooking, bone removed)",bc3d522f-74c1-441a-869c-76cba0aa50bf,8.45,34.0,2.296,0.2,1.0,1.0,2019-07-11 17:02:24.517,0.30656934,0.0,,g,3.732,2.258,136.0,,com.sec.android.app.shealth,fatsecret-1725,Baked or Fried Coated Chicken Wing with Skin,137.0,4.0,,0.1
42.0,,1,"1070 kcal, Per 1 serving",105.0,79R9GKyaj4,0,2019-07-12 01:22:21.735,serving,0f04815e-f4db-4b59-b30e-e7376d81900e,68.0,0.0,,3.0,,,2019-07-12 01:22:21.735,,,,,,14.0,1700.0,,com.sec.android.app.shealth,fatsecret-5207762,Chicken Piccata(Bertucci's),1070.0,,,0.0
3.64,228.0,1,"397 kcal, Per 623g",8.72,79R9GKyaj4,110,2019-07-12 01:22:21.736,cup,d3ceddd7-6fb5-4bf9-a2ca-8055e0b9a5a3,1.53,0.0,0.473,2.0,2.0,63.0,2019-07-12 01:22:21.736,1.5714285,23.0,,g,2.37,0.628,153.0,,com.sec.android.app.shealth,fatsecret-7182048,House Salad,70.0,4.0,0.0,3.59
0.0,,1,"200 kcal, Per 1 bottle",21.0,79R9GKyaj4,12,2019-07-12 01:22:21.736,serving,b5e063c5-45ae-4ddd-827c-832b5a4187a6,0.0,0.0,,0.0,,,2019-07-12 01:22:21.736,,,,oz,,,15.0,,com.sec.android.app.shealth,fatsecret-1346551,Hard Cider - Amber(Woodchuck),200.0,,,21.0
13.59,406.0,1,"332 kcal, Per 135g",43.16,79R9GKyaj4,131,2019-07-12 11:39:00.080,sandwich,8af4f936-d28c-4038-9cfb-ca9eae446f1f,10.32,0.0,3.955,4.1,9.0,1.0,2019-07-12 11:39:00.080,0.4068323,8.0,,g,5.884,2.823,451.0,,com.sec.android.app.shealth,fatsecret-3394,Peanut Butter and Banana Sandwich,322.0,14.0,,11.32
0.15,62.0,1,"6 kcal, Per 168g",0.84,79R9GKyaj4,177,2019-07-12 11:39:00.080,coffee cup (6 fl oz),d94e9d4d-7b8d-47b6-af8f-59c2a98a1075,0.33,0.0,0.012,0.0,0.0,0.0,2019-07-12 11:39:00.080,29.6,0.0,,g,0.035,0.082,6.0,,com.sec.android.app.shealth,fatsecret-2479602,Coffee with Milk,6.0,0.0,,0.22
11.89,238.0,1,"329 kcal, Per 129g",22.34,79R9GKyaj4,126,2019-07-12 23:01:02.386,sandwich,fb9ca13d-9b8a-4472-b533-6bdff4e43bae,29.37,73.0,3.069,1.0,7.0,1.0,2019-07-12 23:01:02.386,0.39009288,0.0,,g,4.467,3.225,494.0,,com.sec.android.app.shealth,fatsecret-2810,Breaded Fried Chicken Fillet Sandwich,323.0,13.0,,2.63
4.91,1.0,1,"390 kcal, Per 100g",3.51,79R9GKyaj4,15,2019-07-12 23:01:02.386,tablespoon,6f38a0c4-bcf9-44dd-8c3f-1bfbef0ddec1,0.13,4.0,2.646,0.0,0.0,1.0,2019-07-12 23:01:02.386,0.25789472,0.0,,g,1.323,0.72,105.0,,com.sec.android.app.shealth,fatsecret-34194,Mayonnaise,57.0,0.0,,0.94
8.0,,1,"390 kcal, Per 1 bowl",62.0,79R9GKyaj4,283,2019-07-12 23:01:37.284,serving,72a6266f-7986-415c-84c8-a553fc7d3236,17.0,95.0,,2.0,4.0,40.0,2019-07-12 23:01:37.284,0.725641,20.0,,g,,1.5,910.0,,com.sec.android.app.shealth,fatsecret-6528100,Chicken Pad Thai(Thai Kitchen),390.0,10.0,0.0,19.0
