com.samsung.health.heart_rate,6060029,8
create_time,time_offset,max,heart_beat_count,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,min,binning_data,datauuid,comment
2017-12-27 05:00:43.361,UTC-0600,0.0,1,,2017-12-27 05:00:34.361,54.0,3CaTqKloqY,2017-12-27 05:00:34.361,com.sec.android.app.shealth,2017-12-27 05:00:43.361,0.0,,67db650e-4455-7fec-0809-23f26cec02b7,
2017-12-27 05:21:25.378,UTC-0600,0.0,1,,2017-12-27 05:20:29.340,53.0,3CaTqKloqY,2017-12-27 05:20:29.340,com.sec.android.app.shealth,2017-12-27 05:21:25.378,0.0,,bc3c41aa-4889-3261-3e83-918f9b3cfbaa,
2017-12-28 13:20:29.304,UTC-0600,69.0,1,,2017-12-27 13:59:59.999,65.0,3CaTqKloqY,2017-12-27 13:00:00.000,com.sec.android.app.shealth,2017-12-28 13:20:29.304,61.0,9b03ca59-e641-6f67-abff-eb8a88bf3f10.binning_data.json,9b03ca59-e641-6f67-abff-eb8a88bf3f10,
2017-12-27 13:48:10.594,UTC-0600,0.0,1,,2017-12-27 13:48:10.379,55.0,3CaTqKloqY,2017-12-27 13:48:10.379,com.sec.android.app.shealth,2017-12-27 13:48:10.594,0.0,,f825d96f-9f09-d693-850e-dc4d6ba7720d,
2017-12-27 14:56:43.324,UTC-0600,0.0,1,,2017-12-27 14:40:59.560,54.0,3CaTqKloqY,2017-12-27 14:40:59.560,com.sec.android.app.shealth,2017-12-27 14:56:43.324,0.0,,97843fb0-4327-97cb-4d6c-2a7b29949055,
2017-12-27 20:11:22.262,UTC-0600,0.0,1,,2017-12-27 20:11:21.050,65.0,3CaTqKloqY,2017-12-27 20:11:21.050,com.sec.android.app.shealth,2017-12-27 20:11:22.262,0.0,,58f6f3f9-a8d9-505e-ad65-e4720a77326b,
2017-12-27 20:22:24.558,UTC-0600,0.0,1,,2017-12-27 20:20:29.341,52.0,3CaTqKloqY,2017-12-27 20:20:29.341,com.sec.android.app.shealth,2017-12-27 20:22:24.558,0.0,,217af091-325c-eb05-b4b7-c51e385950ab,
2017-12-27 21:16:02.450,UTC-0600,0.0,1,,2017-12-27 21:02:34.981,59.0,3CaTqKloqY,2017-12-27 21:02:34.981,com.sec.android.app.shealth,2017-12-27 21:16:02.450,0.0,,676d7295-7cee-752b-2b8b-ee617abdcf1b,
2017-12-27 23:06:34.925,UTC-0600,0.0,1,,2017-12-27 23:00:58.600,57.0,3CaTqKloqY,2017-12-27 23:00:58.600,com.sec.android.app.shealth,2017-12-27 23:06:34.925,0.0,,45c0ba98-d2a7-1036-0688-7d731cd0a1df,
2017-12-28 00:52:19.858,UTC-0600,0.0,1,,2017-12-28 00:50:29.340,50.0,3CaTqKloqY,2017-12-28 00:50:29.340,com.sec.android.app.shealth,2017-12-28 00:52:19.858,0.0,,0f633c09-f9cd-8689-cfb5-1771b3b30c02,
2017-12-28 01:50:46.516,UTC-0600,0.0,1,,2017-12-28 01:40:29.341,62.0,3CaTqKloqY,2017-12-28 01:40:29.341,com.sec.android.app.shealth,2017-12-28 01:50:46.516,0.0,,3a918fc0-ab3a-41c4-e8de-7861b7f3f2c7,
2017-12-28 02:03:34.503,UTC-0600,0.0,1,,2017-12-28 02:00:32.481,50.0,3CaTqKloqY,2017-12-28 02:00:32.481,com.sec.android.app.shealth,2017-12-28 02:03:34.503,0.0,,b2a3288a-528b-494a-13c3-65ffe2280c78,
2017-12-28 02:36:02.347,UTC-0600,0.0,1,,2017-12-28 02:30:59.781,77.0,3CaTqKloqY,2017-12-28 02:30:59.781,com.sec.android.app.shealth,2017-12-28 02:36:02.347,0.0,,7eceea41-6e4b-871b-aea1-27b3ed147fc2,
